"id";"session_code";"wm_score_t1";"wm_score_t2";"sleep_hours_t1";"sleep_hours_t2";"stress_rating_t1";"stress_rating_t2";"age";"gender"
1;"1/4";26;NA;7,9;8,1;NA;4,8;24;"m"
2;"1/4";37;31;7,9;NA;3,8;7,1;20;"m"
3;"2/4";30;23;8,5;6,8;4,4;9;23;"m"
4;"1/4";33;NA;5,8;5,3;6,1;7,8;31;"f"
5;"3/4";24;20;NA;4,8;5,3;6,9;30;"f"
6;"3/4";30;23;5,9;5,3;3;6,4;25;"f"
7;"4/4";29;32;6,7;NA;1;0;79;"f"
8;"4/4";31;29;7,2;6,8;3,8;2,6;26;"f"
9;"4/4";32;30;6;7;3,5;4,8;26;"m"
10;"1/4";33;28;8,1;7,7;6,1;5;27;"f"
11;"3/4";23;21;7;8,4;3,8;3,9;27;"f"
12;"4/4";29;32;8,9;8,2;NA;4,7;20;"f"
13;"2/4";29;27;7,5;7,4;3,8;8,5;30;"div"
14;"2/4";26;21;5,9;5,3;5,7;8,9;71;"f"
15;"4/4";30;28;6,8;4,7;5,7;6;18;"f"
16;"3/4";27;26;8,3;7,5;NA;3,4;26;"m"
17;"3/4";31;31;6,6;7,5;5,2;5,7;26;"f"
18;"1/4";28;27;7,1;7,5;5,9;4,2;34;"f"
19;"2/4";31;29;7,9;7,2;5,2;3,9;22;"f"
20;"1/4";29;20;8,5;7;5,8;8,2;33;"f"
21;"4/4";26;16;6;5;2,7;5,4;33;"m"
22;"2/4";32;29;6,8;6,5;5,3;5,7;19;"f"
23;"2/4";25;24;6,5;NA;7,4;6,9;21;"m"
24;"2/4";25;20;7,2;5,1;2;6,8;19;"f"
25;"2/4";26;18;7,1;NA;4,9;7,8;29;"f"
26;"2/4";33;NA;7,3;5,1;2,7;6,1;24;"f"
27;"1/4";31;22;5,6;6;2,7;7,1;35;"f"
28;"1/4";33;26;7,3;6,7;4,2;8;19;"na"
29;"4/4";25;24;8,2;6,6;3,5;5,2;23;"na"
30;"4/4";24;22;7,4;5,9;6,9;9,3;33;"f"
31;"1/4";28;20;7,9;NA;4,7;6,5;33;"m"
32;"4/4";31;29;7,7;6,1;3;4,3;35;"f"
33;"3/4";27;23;6,6;6,2;3,6;5,5;35;"m"
34;"4/4";29;32;5,5;5,3;4,7;3,5;33;"f"
35;"3/4";29;30;8,3;7,5;3,6;3,5;26;"m"
36;"3/4";31;27;8,2;NA;3,1;8,4;19;"na"
37;"2/4";37;29;6,6;6,7;4,6;6;29;"f"
38;"1/4";24;19;7,3;5,4;5,1;7,9;21;"f"
39;"4/4";32;31;8;7,7;4,7;3,3;31;"div"
40;"4/4";30;27;8;6,2;3,6;2,2;34;"f"
41;"2/4";32;34;6,6;5,6;4,3;4,2;28;"f"
42;"2/4";25;NA;6,1;7,1;4,3;2,6;18;"m"
43;"1/4";27;30;NA;7,9;3,5;3,9;26;"m"
44;"4/4";32;24;7,6;5,7;NA;8,4;18;"m"
45;"1/4";32;29;6,7;6,8;5,4;4,5;19;"m"
46;"1/4";28;27;6;5,3;5,5;6,8;21;"f"
47;"1/4";28;26;7,1;8,1;2,4;2,7;25;"m"
48;"4/4";32;32;7,1;NA;4,5;5,3;27;"na"
49;"1/4";37;27;9;7,7;5,1;7,5;32;"m"
50;"1/4";26;33;5,9;NA;5,8;6,1;28;"f"
51;"1/4";37;38;6,5;7,3;2,6;1;35;"f"
52;"2/4";31;25;9,3;7,6;3,3;6,3;24;"f"
53;"1/4";24;23;7,1;6,3;3,3;7,8;34;"f"
54;"4/4";30;28;7,2;8,5;4,6;4,7;35;"f"
55;"3/4";24;20;6,4;5,8;3,6;4,1;34;"f"
56;"3/4";26;26;8,5;8,4;4,4;4,8;30;"m"
57;"4/4";29;NA;6,3;6;7;7,9;18;"div"
58;"2/4";27;22;5,8;5,9;4,6;8,5;30;"na"
59;"2/4";32;35;7,4;7,1;6;5;27;"div"
60;"1/4";29;30;6,6;6,1;3,3;2,4;22;"f"
61;"1/4";21;27;5,2;6,2;4,9;6,1;19;"f"
62;"3/4";22;31;7,1;6,4;2,3;2,7;25;"m"
63;"1/4";23;20;6,4;6,4;4,1;4,1;30;"f"
64;"4/4";24;26;5,5;5,1;4,8;4,3;32;"na"
65;"4/4";18;27;8,7;NA;4,7;6,5;26;"f"
66;"3/4";23;21;7,3;7,6;5;7,8;23;"m"
67;"1/4";28;25;6,2;4,6;5,2;NA;25;"f"
68;"4/4";26;27;5,1;6,1;3,1;2,5;24;"f"
69;"1/4";25;18;4,6;3;3,7;NA;22;"f"
70;"3/4";30;NA;6,6;6,1;3,2;7,3;22;"f"
71;"3/4";28;23;5,5;4,9;6,9;NA;25;"m"
72;"1/4";26;26;8,3;8,1;5,6;4,2;23;"f"
73;"1/4";27;NA;6,5;5,3;4,2;6,8;21;"f"
74;"3/4";26;29;6,4;6,3;5,8;4,6;27;"f"
75;"1/4";22;16;6,2;5,1;3,9;7,2;33;"na"
76;"3/4";29;35;7;6,4;2;4;32;"f"
77;"4/4";30;26;9;7,6;5,7;7,9;31;"f"
78;"1/4";24;24;7,6;6;2,5;6,4;21;"div"
79;"2/4";30;25;6,2;4,8;4,6;NA;31;"f"
80;"4/4";26;22;7;5,1;3,4;7,2;34;"f"
81;"1/4";28;22;6,3;5;4,7;6,3;21;"m"
82;"3/4";22;20;6,9;NA;4;4,4;21;"m"
83;"3/4";27;30;7,5;7,7;3,3;4,1;31;"m"
84;"4/4";26;22;6,5;6,7;5,3;4,6;28;"f"
85;"1/4";29;30;9,2;8,8;4,8;4,1;27;"f"
86;"4/4";27;22;6,9;6,4;5;10;34;"m"
87;"4/4";32;28;7,5;6,7;4,5;4,5;21;"f"
88;"2/4";26;26;8,8;7,6;5,5;5,8;18;"f"
89;"1/4";23;22;7,7;6,7;6,1;5,7;22;"div"
90;"4/4";28;31;8,3;7,3;7,3;7,7;35;"f"
91;"1/4";31;32;10,6;11,2;7,6;7,1;23;"na"
92;"3/4";35;31;7;5,8;5,7;5,3;28;"m"
93;"4/4";27;29;7;9,2;6,1;6;27;"m"
94;"3/4";31;28;5,4;5,2;4;3,4;29;"na"
95;"2/4";28;32;7,7;7,3;7,6;4,7;34;"m"
96;"4/4";25;24;7,9;5,6;4,4;7,3;31;"f"
97;"4/4";21;26;5,6;5,6;3,4;4,4;24;"f"
98;"2/4";28;20;6,8;5,2;4,3;NA;30;"m"
99;"1/4";28;35;9,4;9,5;4,5;4,9;32;"f"
100;"4/4";26;25;6,1;6,2;4,5;7,8;25;"f"
