"id_raw"	"group_raw"	"device_raw"	"coder"	"notes"
"1"	"Kontrollgruppe"	"home"	"EF"	""
"2"	"Stress"	"Zuhause"	"AB"	""
"3"	"Stress"	"Zuhause"	"EF"	"Pause während Aufgabe"
"4"	"Kontrollgruppe"	"Lab"	"AB"	""
"5"	"Stress"	"Lab"	"AB"	""
"6"	"Stress"	"?"	"AB"	""
"P7"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"8"	"Kontrollgruppe"	"Lab"	"CD "	""
"9"	"Kontrollgruppe"	"Lab"	"AB"	""
"10"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"11"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"12"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"13"	"Stress"	"Zuhause"	"EF"	""
"14"	"Stress"	"Lab"	""	""
"15"	"Kontrollgruppe"	"lab"	"AB"	"Versuch unterbrochen"
"16"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"17"	"fehlend"	"Zuhause"	"EF"	""
"18"	"Kontrollgruppe"	"Zuhause"	"AB"	""
" 19 "	"Kontrollgruppe"	"nicht erhoben"	"EF"	"spät erschienen"
"20"	"Stress"	"Zuhause"	"CD"	"Geräusch im Raum"
"21"	"keine Angabe"	"Lab"	"CD"	""
"22"	"Kontrollgruppe"	"Zuhause"	"EF"	""
" 23 "	"Kontrollgruppe"	"Zuhause"	"CD"	""
"24"	"Stress"	"Zuhause"	"AB"	""
"25"	"Stress"	"Zuhause"	"CD"	""
"26"	"STR"	"Lab"	"EF"	""
"27"	"Stress"	"Zuhause"	"CD"	""
"28"	"Stress"	"Zuhause"	"EF"	""
"P29"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"30"	"Stress"	"Zuhause"	"AB"	""
"31"	"Stress"	"keine Angabe"	"CD"	""
"32"	"Stress"	"Zuhause"	"EF"	""
"33"	"Stress"	"im_Lab"	"CD"	""
"34"	"keine Angabe"	"LAB "	"CD"	""
"35"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"36"	"nicht gefragt"	"Zuhause"	"EF"	""
"37"	"Stress"	"Lab"	"CD"	""
"38"	"Stress"	"Zuhause"	"EF"	""
"39"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"P40"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"41"	"nicht erhoben"	"Zuhause"	"EF"	""
"42"	"Kontrolle"	"Lab"	"CD"	""
"43"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"44"	"CON"	"Zuhause"	"EF"	""
"45"	"Kontrollgruppe"	"Zuhause"	"CD"	""
"46"	"Stress"	"Lab"	"AB"	""
"47"	"Kontrollgruppe"	"zuHause"	"AB"	""
"48"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"49"	"Stress"	"Home "	"AB"	""
"50"	"CON"	"Zuhause"	"AB"	""
"51"	"Kontrollgruppe"	"Zuhause"	"EF"	""
"52"	"Stress"	"Zuhause"	"CD"	""
"53"	"Stress"	"Lab"	"EF"	""
"54"	"Kontrollgruppe"	"Lab"	"CD"	""
" 55 "	"Kontrollgruppe"	"Zuhause"	"CD"	""
"56"	"vergessen"	"Lab"	"EF"	""
"57"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"58"	"Stress"	"Lab"	"CD"	""
"59"	"Kontrollgruppe"	"nicht gefragt"	"CD"	""
"60"	"Kontrollgruppe"	"lab"	"EF"	""
"61"	"Kontrollgruppe"	"?"	"CD"	""
"62"	"Kontrollgruppe"	"Lab"	"CD"	""
"63"	"Kontrollgruppe"	"unklar"	"EF"	""
"64"	"Kontrollgruppe"	"Zuhause"	"unbekannt"	""
"65"	"Kontrollgruppe"	"Zuhause"	"AB"	""
"66"	"Stress"	"Zuhause"	"AB"	""
"67"	"STR"	"Zuhause"	"CD"	""
