"id";"gruppe";"device";"session_code";"coder";"age";"gender";"MZP";"wm_score";"sleep_hours";"stress_rating"
1;"Kontrollgruppe";"Zuhause";"1/4";"EF";24;"m";"t1";26;7,9;NA
1;"Kontrollgruppe";"Zuhause";"1/4";"EF";24;"m";"t2";NA;8,1;4,8
2;"Stress";"Zuhause";"1/4";"AB";20;"m";"t1";37;7,9;3,8
2;"Stress";"Zuhause";"1/4";"AB";20;"m";"t2";31;NA;7,1
3;"Stress";"Zuhause";"2/4";"EF";23;"m";"t1";30;8,5;4,4
3;"Stress";"Zuhause";"2/4";"EF";23;"m";"t2";23;6,8;9
4;"Kontrollgruppe";"Lab";"1/4";"AB";31;"f";"t1";33;5,8;6,1
4;"Kontrollgruppe";"Lab";"1/4";"AB";31;"f";"t2";NA;5,3;7,8
5;"Stress";"Lab";"3/4";"AB";30;"f";"t1";24;NA;5,3
5;"Stress";"Lab";"3/4";"AB";30;"f";"t2";20;4,8;6,9
6;"Stress";NA;"3/4";"AB";25;"f";"t1";30;5,9;3
6;"Stress";NA;"3/4";"AB";25;"f";"t2";23;5,3;6,4
7;"Kontrollgruppe";"Zuhause";"4/4";"EF";79;"f";"t1";29;6,7;1
7;"Kontrollgruppe";"Zuhause";"4/4";"EF";79;"f";"t2";32;NA;0
8;"Kontrollgruppe";"Lab";"4/4";"CD";26;"f";"t1";31;7,2;3,8
8;"Kontrollgruppe";"Lab";"4/4";"CD";26;"f";"t2";29;6,8;2,6
9;"Kontrollgruppe";"Lab";"4/4";"AB";26;"m";"t1";32;6;3,5
9;"Kontrollgruppe";"Lab";"4/4";"AB";26;"m";"t2";30;7;4,8
10;"Kontrollgruppe";"Zuhause";"1/4";"CD";27;"f";"t1";33;8,1;6,1
10;"Kontrollgruppe";"Zuhause";"1/4";"CD";27;"f";"t2";28;7,7;5
11;"Kontrollgruppe";"Zuhause";"3/4";"EF";27;"f";"t1";23;7;3,8
11;"Kontrollgruppe";"Zuhause";"3/4";"EF";27;"f";"t2";21;8,4;3,9
